Localización,Precio,Superficie Construida,Última Actualización,Consumo Energético,Emisiones CO2,Características,Tipo de operación
N/A,279.700,85,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '85 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Planta:', '1ª'), ('Conservación:', 'A estrenar'), ('Referencia:', '-20889261')]",Alquiler
Niño Jesús (Distrito Retiro. Madrid Capital),900.000,160,Anuncio actualizado el 25/10/2024,N/A,N/A,"[('Superficie construida:', '160 m²'), ('Superficie útil:', '102 m²'), ('Habitaciones:', '1'), ('Baños:', '2'), ('Planta:', '2ª'), ('Antigüedad:', 'Más de 50 años'), ('Conservación:', 'Reformado'), ('Gastos de comunidad:', 'Entre 20 y 40 €'), ('Referencia:', '4997608-0120-00318')]",Alquiler
Zofío (Distrito Usera. Madrid Capital),198.000,71,Anuncio actualizado el 22/10/2024,Consumo:300 kWh/m² año,Emisiones:65 Kg CO₂/m² año,"[('Superficie construida:', '71 m²'), ('Superficie útil:', '66 m²'), ('Habitaciones:', '3'), ('Baños:', '1'), ('Planta:', '1ª'), ('Antigüedad:', 'Más de 50 años'), ('Conservación:', 'En buen estado'), ('Gastos de comunidad:', '38'), ('Referencia:', '4400-23645')]",Alquiler
N/A,175.000,78,Anuncio actualizado el 14/10/2024,N/A,N/A,"[('Superficie construida:', '78 m²'), ('Superficie útil:', '70 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Planta:', '2ª'), ('Antigüedad:', 'Entre 20 y 30 años'), ('Conservación:', 'En buen estado'), ('Gastos de comunidad:', 'Entre 40 y 60 €'), ('Referencia:', '4510261-400 MONASTERIOR')]",Alquiler
N/A,180.000,62,Anuncio actualizado el 21/10/2024,N/A,N/A,"[('Superficie construida:', '62 m²'), ('Habitaciones:', '3'), ('Baños:', '1'), ('Referencia:', 'AF210-2304/419')]",Alquiler
Guindalera (Distrito Salamanca. Madrid Capital),490.000,69,Anuncio actualizado el 25/10/2024,N/A,N/A,"[('Superficie construida:', '69 m²'), ('Superficie útil:', '61 m²'), ('Habitaciones:', '3'), ('Baños:', '1'), ('Planta:', '6ª'), ('Interior:', 'A patios de manzana'), ('Antigüedad:', 'Más de 50 años'), ('Conservación:', 'A reformar'), ('Gastos de comunidad:', '110'), ('Referencia:', '4400-23672')]",Alquiler
N/A,430.000,145,Anuncio actualizado el 18/10/2024,Consumo:1 kWh/m² año,Emisiones:1 Kg CO₂/m² año,"[('Superficie construida:', '145 m²'), ('Superficie útil:', '140 m²'), ('Habitaciones:', '4'), ('Baños:', '2'), ('Planta:', '1ª'), ('Antigüedad:', 'Entre 10 y 20 años'), ('Conservación:', 'En buen estado'), ('Referencia:', '4528947-000005')]",Alquiler
N/A,299.900,186,Anuncio actualizado el 17/10/2024,N/A,N/A,"[('Superficie construida:', '186 m²'), ('Superficie útil:', '178 m²'), ('Habitaciones:', '2'), ('Baños:', '1'), ('Tipo de casa:', 'Adosada'), ('Referencia:', 'AF169-2131/155')]",Alquiler
N/A,635.000,2.725,Anuncio actualizado el 28/10/2024,Consumo:300 kWh/m² año,Emisiones:300 Kg CO₂/m² año,"[('Superficie construida:', '2.725 m²'), ('Superficie útil:', '230 m²'), ('Superficie solar:', '2.725 m²'), ('Habitaciones:', '3'), ('Baños:', '2'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA193-3019')]",Alquiler
N/A,715.000,380,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '380 m²'), ('Superficie solar:', '385 m²'), ('Habitaciones:', '5'), ('Baños:', '5'), ('Antigüedad:', 'Entre 10 y 20 años'), ('Referencia:', 'IF7144-VCHIC')]",Alquiler
