Enlace,Precio,Superficie Construida,Última Actualización,Consumo Energético,Emisiones CO2,Características,Tipo de operación
https://www.pisos.com/alquilar/piso-la_finca-47557750571_280500/,5.500,190,Anuncio actualizado el 24/10/2024,Consumo:15 kWh/m² año,Emisiones:2 Kg CO₂/m² año,"[('Superficie construida:', '190 m²'), ('Superficie útil:', '170 m²'), ('Habitaciones:', '3'), ('Baños:', '3'), ('Planta:', '2ª'), ('Exterior', 'N/A'), ('Antigüedad:', 'Menos de 5 años'), ('Conservación:', 'En buen estado'), ('Gastos de comunidad:', 'Incluidos'), ('Referencia:', '2805-002404')]",Alquiler
https://www.pisos.com/alquilar/casa_unifamiliar-las_matas_los_penascales-29189878080_280500/,4.000,600,Anuncio actualizado el 24/10/2024,N/A,N/A,"[('Superficie construida:', '600 m²'), ('Superficie útil:', '600 m²'), ('Habitaciones:', '6'), ('Baños:', '7'), ('Tipo de casa:', 'Unifamiliar'), ('Antigüedad:', 'Entre 5 y 10 años'), ('Conservación:', 'En buen estado'), ('Referencia:', '2805-002317')]",Alquiler
https://www.pisos.com/alquilar/casa_adosada-sector_b28660-44200537282_100200/,3.600,448,Anuncio actualizado el 21/10/2024,N/A,N/A,"[('Superficie construida:', '448 m²'), ('Habitaciones:', '5'), ('Baños:', '2'), ('Tipo de casa:', 'Adosada'), ('Antigüedad:', 'Menos de 5 años'), ('Conservación:', 'En buen estado'), ('Referencia:', 'TC170-581681')]",Alquiler
https://www.pisos.com/alquilar/piso-somosaguas_humera_los_angeles-47519129575_280500/,1.450,69,Anuncio actualizado el 24/10/2024,N/A,N/A,"[('Superficie construida:', '69 m²'), ('Superficie útil:', '48 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Planta:', '1ª'), ('Exterior', 'N/A'), ('Antigüedad:', 'Menos de 5 años'), ('Conservación:', 'En buen estado'), ('Referencia:', '2805-002408')]",Alquiler
https://www.pisos.com/alquilar/piso-valdezarza28035-45021521231_101800/,950,50,Anuncio actualizado el 24/10/2024,N/A,N/A,"[('Superficie construida:', '50 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Planta:', '6ª'), ('Referencia:', 'IF5032-J. Andrés')]",Alquiler
https://www.pisos.com/alquilar/piso-universidad_malasana28013-48381283236_528417/,3.500,122,Anuncio actualizado el 03/10/2024,Consumo:70 kWh/m² año,Emisiones:15 Kg CO₂/m² año,"[('Superficie construida:', '122 m²'), ('Superficie útil:', '120 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Planta:', '8ª'), ('Exterior', 'N/A'), ('Antigüedad:', 'Entre 5 y 10 años'), ('Conservación:', 'Reformado'), ('Referencia:', '4528417-000005')]",Alquiler
https://www.pisos.com/alquilar/piso-zona_avenida_de_europa28224-45068829832_101800/,1.400,65,Anuncio actualizado el 24/10/2024,N/A,N/A,"[('Superficie construida:', '65 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Planta:', '2ª'), ('Referencia:', 'IF5032-avda-1d-V T 40m')]",Alquiler
https://www.pisos.com/alquilar/piso-casa_de_campo28008-46681637255_100500/,3.000,85,Anuncio actualizado el 24/10/2024,N/A,N/A,"[('Superficie construida:', '85 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Planta:', '4ª'), ('Exterior', 'N/A'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA5184-105690166')]",Alquiler
https://www.pisos.com/alquilar/atico-fuencarral_el_pardo_las_tablas28050-48426361500_100500/,3.950,350,Anuncio actualizado el 24/10/2024,N/A,N/A,"[('Superficie construida:', '350 m²'), ('Superficie útil:', '280 m²'), ('Habitaciones:', '4'), ('Baños:', '4'), ('Planta:', '4ª'), ('Exterior', 'N/A'), ('Antigüedad:', 'Menos de 5 años'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA2557-105981723')]",Alquiler
https://www.pisos.com/alquilar/piso-carabanchel_buenavista28044-47532300472_996848/,1.075,62,Anuncio actualizado el 10/10/2024,N/A,N/A,"[('Superficie construida:', '62 m²'), ('Superficie útil:', '50 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Planta:', '3ª'), ('Exterior', 'N/A'), ('Antigüedad:', 'Entre 20 y 30 años'), ('Conservación:', 'En buen estado'), ('Referencia:', '4996848-000028')]",Alquiler
https://www.pisos.com/alquilar/piso-jeronimos28014-45878527963_440000/,3.750,107,Anuncio actualizado el 22/10/2024,Consumo:138 kWh/m² año,Emisiones:34 Kg CO₂/m² año,"[('Superficie construida:', '107 m²'), ('Superficie útil:', '89 m²'), ('Habitaciones:', '3'), ('Baños:', '2'), ('Planta:', '4ª'), ('Exterior', 'N/A'), ('Antigüedad:', 'Más de 50 años'), ('Conservación:', 'Reformado'), ('Referencia:', '4400-23656')]",Alquiler
https://www.pisos.com/alquilar/piso-chamartin_hispanoamerica28016-48390459939_104700/,1.200,72,Anuncio actualizado el 18/10/2024,N/A,N/A,"[('Superficie construida:', '72 m²'), ('Superficie útil:', '56 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Antigüedad:', 'Más de 50 años'), ('Referencia:', 'STA61-RP902024130862')]",Alquiler
https://www.pisos.com/alquilar/piso-nino_jesus28009-48417621158_100500/,1.400,45,Anuncio actualizado el 24/10/2024,N/A,N/A,"[('Superficie construida:', '45 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Planta:', '2ª'), ('Exterior', 'N/A'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA5184-106277345')]",Alquiler
https://www.pisos.com/alquilar/estudio-parque_empresarial28290-45008053320_101800/,1.147,50,Anuncio actualizado el 03/07/2024,N/A,N/A,"[('Superficie construida:', '50 m²'), ('Baños:', '1'), ('Referencia:', 'IF5032-tartesos')]",Alquiler
https://www.pisos.com/alquilar/atico-jeronimos28014-45882710017_440000/,4.500,133,Anuncio actualizado el 22/10/2024,N/A,N/A,"[('Superficie construida:', '133 m²'), ('Superficie útil:', '130 m²'), ('Habitaciones:', '3'), ('Baños:', '2'), ('Planta:', 'Bajo'), ('Exterior', 'N/A'), ('Antigüedad:', 'Más de 50 años'), ('Conservación:', 'Reformado'), ('Referencia:', '4400-23657')]",Alquiler
https://www.pisos.com/alquilar/piso-chamartin_prosperidad28002-45891547824_500635/,2.500,95,Anuncio actualizado el 21/10/2024,N/A,N/A,"[('Superficie construida:', '95 m²'), ('Superficie útil:', '90 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Planta:', '4ª'), ('Exterior', 'N/A'), ('Conservación:', 'Reformado'), ('Gastos de comunidad:', 'Incluidos en el precio'), ('Referencia:', '500635-111246')]",Alquiler
https://www.pisos.com/alquilar/piso-zona_avenida_de_europa28224-48354320473_500635/,2.300,157,Anuncio actualizado el 24/10/2024,N/A,N/A,"[('Superficie construida:', '157 m²'), ('Superficie útil:', '150 m²'), ('Habitaciones:', '4'), ('Baños:', '3'), ('Planta:', '3ª'), ('Exterior', 'N/A'), ('Antigüedad:', 'Entre 20 y 30 años'), ('Conservación:', 'En buen estado'), ('Gastos de comunidad:', 'Incluídos'), ('Referencia:', '500635-111256')]",Alquiler
https://www.pisos.com/alquilar/piso-tetuan_almenara28020-7581420285_500564/,1.200,80,Anuncio actualizado el 23/10/2024,N/A,N/A,"[('Superficie construida:', '80 m²'), ('Superficie útil:', '80 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Planta:', '2ª'), ('Exterior', 'N/A'), ('Conservación:', 'En buen estado'), ('Referencia:', '500564-35134')]",Alquiler
https://www.pisos.com/alquilar/piso-arroyos_y_tempranales28701-4863958695_109700/,850,50,Anuncio actualizado el 21/10/2024,N/A,N/A,"[('Superficie construida:', '50 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Planta:', '1ª'), ('Conservación:', 'A estrenar'), ('Referencia:', '4528991-21490392')]",Alquiler
https://www.pisos.com/alquilar/piso-jeronimos28014-45027368929_101800/,11.000,390,Anuncio actualizado el 24/10/2024,Consumo:104 kWh/m² año,Emisiones:53 Kg CO₂/m² año,"[('Superficie construida:', '390 m²'), ('Habitaciones:', '3'), ('Baños:', '4'), ('Planta:', '2ª'), ('Antigüedad:', 'Más de 50 años'), ('Conservación:', 'En buen estado'), ('Referencia:', 'IF5271-263')]",Alquiler
https://www.pisos.com/alquilar/piso-fuencarral_el_pardo_las_tablas28050-48375639374_101000/,1.300,93,Anuncio actualizado el 24/10/2024,N/A,N/A,"[('Superficie construida:', '93 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Exterior', 'N/A'), ('Referencia:', 'AF105-1338/273')]",Alquiler
https://www.pisos.com/alquilar/piso-ibiza28009-45860497913_102100/,3.200,215,Anuncio actualizado el 24/10/2024,N/A,N/A,"[('Superficie construida:', '215 m²'), ('Habitaciones:', '3'), ('Baños:', '2'), ('Exterior:', 'Exterior'), ('Referencia:', 'GM19-199735')]",Alquiler
https://www.pisos.com/alquilar/piso-parque_de_la_coruna_las_suertes-47570690285_992271/,1.200,110,Anuncio actualizado el 24/10/2024,Consumo:270 kWh/m² año,Emisiones:57 Kg CO₂/m² año,"[('Superficie construida:', '110 m²'), ('Superficie útil:', '100 m²'), ('Habitaciones:', '3'), ('Baños:', '2'), ('Planta:', '2ª'), ('Exterior', 'N/A'), ('Antigüedad:', 'Entre 20 y 30 años'), ('Conservación:', 'En buen estado'), ('Referencia:', '4992271-1074')]",Alquiler
https://www.pisos.com/alquilar/piso-prado_de_somosaguas-48382784785_500635/,2.200,175,Anuncio actualizado el 21/10/2024,N/A,N/A,"[('Superficie construida:', '175 m²'), ('Superficie útil:', '150 m²'), ('Habitaciones:', '4'), ('Baños:', '2'), ('Planta:', '2ª'), ('Exterior', 'N/A'), ('Antigüedad:', 'Entre 5 y 10 años'), ('Gastos de comunidad:', 'Incluídos en el precio'), ('Referencia:', '500635-111253')]",Alquiler
https://www.pisos.com/alquilar/chalet_unifamiliar-castillo_campodon-47560668046_990706/,7.000,554,Anuncio actualizado el 21/10/2024,N/A,N/A,"[('Superficie construida:', '554 m²'), ('Superficie útil:', '500 m²'), ('Superficie solar:', '1.000 m²'), ('Habitaciones:', '4'), ('Baños:', '6'), ('Antigüedad:', 'Entre 10 y 20 años'), ('Conservación:', 'En buen estado'), ('Referencia:', '4990706-chainvlj')]",Alquiler
https://www.pisos.com/alquilar/piso-el_canaveral-4342877009_109700/,1.290,108,Anuncio actualizado el 24/10/2024,Consumo:93 kWh/m² año,Emisiones:19 Kg CO₂/m² año,"[('Superficie construida:', '108 m²'), ('Habitaciones:', '3'), ('Baños:', '2'), ('Conservación:', 'A estrenar'), ('Referencia:', '4526851-21049622')]",Alquiler
https://www.pisos.com/alquilar/duplex-golf_el_carralero28222-47524013896_100500/,2.900,168,Anuncio actualizado el 22/10/2024,N/A,N/A,"[('Superficie construida:', '168 m²'), ('Habitaciones:', '4'), ('Baños:', '3'), ('Planta:', '3ª'), ('Exterior', 'N/A'), ('Antigüedad:', 'Entre 20 y 30 años'), ('Conservación:', 'A estrenar'), ('Referencia:', 'SA4094-IDE1260924')]",Alquiler
https://www.pisos.com/alquilar/piso-bustarviejo_centro_urbano-48414483409_101000/,720,86,Anuncio actualizado el 24/10/2024,N/A,N/A,"[('Superficie construida:', '86 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Exterior', 'N/A'), ('Referencia:', 'AF189-2216/55')]",Alquiler
https://www.pisos.com/alquilar/piso-justicia_chueca28046-44256471315_102100/,2.500,124,Anuncio actualizado el 24/10/2024,N/A,N/A,"[('Superficie construida:', '124 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Referencia:', 'GM19-198234')]",Alquiler
https://www.pisos.com/alquilar/piso-universidad_malasana28004-44190693894_528374/,1.050,55,Anuncio actualizado el 17/10/2024,N/A,N/A,"[('Superficie construida:', '55 m²'), ('Superficie útil:', '50 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Planta:', '3ª'), ('Exterior', 'N/A'), ('Antigüedad:', 'Entre 30 y 50 años'), ('Conservación:', 'En buen estado'), ('Referencia:', '4528374-1')]",Alquiler
